fuente;numero victima;municipio id;municipio nombre;fecha hecho;hora hecho;momento hecho;edad;sexo;clase victima;vehiculo victima;tipo via;tipo incidente;clima
Reparos;3-2017-1351;;;01/04/2017;7:50:00;Diurno;68;Femenino;Peatón;Peatón;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1359;;;01/04/2017;9:28:00;Diurno;Sin especificar;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Reparos;3-2017-1360;;;01/04/2017;5:15:00;Diurno;19;Masculino;Ocupante de vehículo sin especificar;Motocicleta;Ruta Nacional;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1056;60274;Florencio Varela;02/04/2017;2:40:00;Nocturno;30;Femenino;Acompañante;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1139;60412;José C. Paz;02/04/2017;22:30:00;Nocturno;36;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-657;;;02/04/2017;0:00:00;Nocturno;19;Masculino;Conductor;Motocicleta;Calle;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-869;60098;Berisso;02/04/2017;5:27:00;Nocturno;27;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Egresos hospitalarios;2-2017-1279;;;02/04/2017;Sin especificar;Sin especificar;79;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Egresos hospitalarios;2-2017-1193;;;03/04/2017;Sin especificar;Sin especificar;63;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1057;60515;Malvinas Argentinas;04/04/2017;14:00:00;Diurno;Sin especificar;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-335;;;04/04/2017;12:00:00;Diurno;26;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-794;;;04/04/2017;21:00:00;Nocturno;42;Masculino;Conductor;Motocicleta;Autopista nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-870;60515;Malvinas Argentinas;04/04/2017;10:15:00;Diurno;20;Femenino;Sin especificar;Sin especificar;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-918;;;04/04/2017;19:20:00;Nocturno;78;Masculino;Conductor;Bicicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-954;;;04/04/2017;1:00:00;Nocturno;Sin especificar;Masculino;Conductor;Automóvil;Calle;Sin especificar;Sin especificar
Egresos hospitalarios;2-2017-1287;;;04/04/2017;Sin especificar;Sin especificar;84;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-53;60134;Cañuelas;05/04/2017;22:00:00;Nocturno;57;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-54;60134;Cañuelas;05/04/2017;22:00:00;Nocturno;54;Femenino;Acompañante;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-55;60260;Esteban Echeverría;05/04/2017;22:00:00;Nocturno;22;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-732;;;05/04/2017;6:40:00;Nocturno;60;Masculino;Conductor;Sin especificar;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-733;;;05/04/2017;15:45:00;Diurno;85;Femenino;Peatón;Peatón;Ruta provincial;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-919;;;05/04/2017;17:45:00;Diurno;15;Masculino;Acompañante;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-404;;;06/04/2017;6:30:00;Nocturno;38;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-56;60134;Cañuelas;06/04/2017;8:50:00;Diurno;23;Masculino;Conductor;Motocicleta;Autopista provincial;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-658;;;06/04/2017;20:00:00;Nocturno;39;Masculino;Conductor;Motocicleta;Autopista nacional;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1246;;;06/04/2017;Sin especificar;Sin especificar;16;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-202;;;07/04/2017;10:30:00;Diurno;79;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-58;60638;Pilar;07/04/2017;16:45:00;Diurno;76;Femenino;Conductor;Automóvil;Ruta provincial;Vuelco/Despiste;Otro
Ministerio de Seguridad;1-2017-602;;;07/04/2017;12:30:00;Diurno;53;Masculino;Conductor;Sin especificar;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-603;;;07/04/2017;12:30:00;Diurno;20;Masculino;Conductor;Sin especificar;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1117;;;08/04/2017;11:11:00;Diurno;37;Masculino;Peatón;Peatón;Ruta provincial;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-291;;;08/04/2017;4:15:00;Nocturno;54;Femenino;Peatón;Peatón;Ruta nacional;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-441;;;08/04/2017;21:30:00;Nocturno;17;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-57;60638;Pilar;08/04/2017;20:00:00;Nocturno;48;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Otro
Ministerio de Seguridad;1-2017-955;;;08/04/2017;5:20:00;Nocturno;17;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-405;;;09/04/2017;0:00:00;Nocturno;81;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-406;;;09/04/2017;0:00:00;Nocturno;54;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-407;;;09/04/2017;0:00:00;Nocturno;58;Femenino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-59;60274;Florencio Varela;09/04/2017;7:10:00;Diurno;24;Masculino;Conductor;Motocicleta;Autopista nacional;Colisión vehículo/Objeto;Lluvia
Ministerio de Seguridad;1-2017-734;;;09/04/2017;7:30:00;Diurno;26;Masculino;Conductor;Motocicleta;Calle;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-408;;;10/04/2017;14:20:00;Diurno;77;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-70;60056;Bahía Blanca;10/04/2017;21:30:00;Nocturno;31;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-60;60274;Florencio Varela;11/04/2017;18:30:00;Diurno;53;Masculino;Conductor;Camioneta;Ruta provincial;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-604;;;11/04/2017;0:30:00;Nocturno;31;Masculino;Conductor;Motocicleta;Calle;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-871;60274;Florencio Varela;11/04/2017;16:00:00;Diurno;69;Femenino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-956;;;11/04/2017;21:00:00;Nocturno;20;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-68;60056;Bahía Blanca;12/04/2017;21:30:00;Nocturno;46;Femenino;Acompañante;Camioneta;Ruta provincial;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-999;;;12/04/2017;19:05:00;Nocturno;24;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-1000;60515;Malvinas Argentinas;13/04/2017;23:00:00;Nocturno;37;Masculino;Conductor;Automóvil;Calle;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-1001;;;13/04/2017;15:05:00;Diurno;69;Masculino;Conductor;Automóvil;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1058;60655;Punta Indio;13/04/2017;10:30:00;Diurno;35;Masculino;Conductor;Camioneta;Calle;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-1140;;;13/04/2017;10:30:00;Diurno;26;Femenino;Acompañante;Sin especificar;Autopista provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-66;60412;José C. Paz;13/04/2017;14:00:00;Diurno;43;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-828;60028;Almirante Brown;13/04/2017;9:20:00;Diurno;31;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-275;;;14/04/2017;10:22:00;Diurno;49;Masculino;Conductor;Camioneta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-409;;;14/04/2017;20:15:00;Nocturno;25;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Egresos hospitalarios;2-2017-1210;;;14/04/2017;Sin especificar;Sin especificar;58;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Egresos hospitalarios;2-2017-1234;60084;Benito Juárez;14/04/2017;Sin especificar;Sin especificar;57;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-469;;;15/04/2017;2:35:00;Nocturno;Sin especificar;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1280;;;15/04/2017;Sin especificar;Sin especificar;24;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1002;60655;Punta Indio;16/04/2017;16:50:00;Diurno;48;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1141;60778;San Vicente;16/04/2017;6:40:00;Nocturno;25;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-470;;;16/04/2017;20:00:00;Nocturno;Sin especificar;Masculino;Acompañante;Automóvil;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-471;;;16/04/2017;20:00:00;Nocturno;2;Femenino;Acompañante;Automóvil;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-472;;;16/04/2017;20:00:00;Nocturno;25;Femenino;Acompañante;Automóvil;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-473;;;16/04/2017;18:30:00;Diurno;50;Femenino;Acompañante;Sin especificar;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-61;60410;Ituzaingó;16/04/2017;7:55:00;Diurno;37;Femenino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-64;;;16/04/2017;2:50:00;Nocturno;17;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-67;60056;Bahía Blanca;16/04/2017;13:35:00;Diurno;70;Femenino;Acompañante;Automóvil;Ruta provincial;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-705;;;16/04/2017;5:15:00;Nocturno;52;Masculino;Conductor;Automóvil;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-872;60049;Azul;16/04/2017;7:10:00;Diurno;25;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1194;;;16/04/2017;Sin especificar;Sin especificar;61;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1003;60778;San Vicente;17/04/2017;21:45:00;Nocturno;22;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Objeto;Sin especificar
Ministerio de Seguridad;1-2017-62;60274;Florencio Varela;17/04/2017;8:00:00;Diurno;44;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-63;60270;Ezeiza;17/04/2017;8:00:00;Diurno;47;Femenino;Acompañante;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-630;;;17/04/2017;20:50:00;Nocturno;58;Masculino;Conductor;Bicicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-65;;;17/04/2017;3:40:00;Nocturno;50;Masculino;Conductor;Automóvil;Ruta nacional;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-1142;60778;San Vicente;18/04/2017;6:15:00;Nocturno;61;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-69;60655;Punta Indio;18/04/2017;7:15:00;Diurno;Sin especificar;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-735;;;18/04/2017;9:10:00;Diurno;82;Femenino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-336;;;19/04/2017;22:00:00;Nocturno;19;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-377;;;19/04/2017;8:40:00;Diurno;72;Masculino;Conductor;Sin especificar;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-1143;;;20/04/2017;2:30:00;Nocturno;20;Masculino;Sin especificar;Sin especificar;Autopista provincial;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-736;;;21/04/2017;23:57:00;Nocturno;32;Masculino;Conductor;Automóvil;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-738;;;21/04/2017;6:40:00;Nocturno;35;Masculino;Conductor;Motocicleta;Calle;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-410;;;22/04/2017;0:40:00;Nocturno;16;Masculino;Acompañante;Motocicleta;Autopista provincial;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-659;;;22/04/2017;6:00:00;Nocturno;31;Femenino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-71;60028;Almirante Brown;22/04/2017;8:00:00;Diurno;39;Masculino;Conductor;Camión;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-442;;;23/04/2017;6:15:00;Nocturno;26;Femenino;Acompañante;Automóvil;Ruta provincial;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-236;60778;San Vicente;24/04/2017;19:00:00;Diurno;51;Femenino;Sin especificar;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-443;;;24/04/2017;0:45:00;Nocturno;33;Masculino;Sin especificar;Automóvil;Sin especificar;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-72;60274;Florencio Varela;24/04/2017;16:10:00;Diurno;53;Femenino;Acompañante;Motocicleta;Autopista nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-73;60134;Cañuelas;24/04/2017;6:15:00;Nocturno;29;Masculino;Acompañante;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Lluvia
Ministerio de Seguridad;1-2017-737;;;24/04/2017;4:20:00;Nocturno;24;Femenino;Conductor;Sin especificar;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1227;;;24/04/2017;Sin especificar;Sin especificar;47;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Egresos hospitalarios;2-2017-1204;;;26/04/2017;Sin especificar;Sin especificar;26;Femenino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1060;60007;Adolfo Alsina;27/04/2017;15:34:00;Diurno;73;Masculino;Conductor;Bicicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-237;60778;San Vicente;27/04/2017;10:30:00;Diurno;64;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-238;60270;Ezeiza;27/04/2017;10:30:00;Diurno;58;Femenino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-873;60049;Azul;27/04/2017;20:00:00;Nocturno;30;Masculino;Sin especificar;Sin especificar;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-292;;;28/04/2017;17:20:00;Diurno;27;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-875;60042;Ayacucho;28/04/2017;19:00:00;Diurno;22;Masculino;Sin especificar;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-1059;60655;Punta Indio;29/04/2017;16:20:00;Diurno;16;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-523;;;29/04/2017;17:30:00;Diurno;40;Masculino;Conductor;Sin especificar;Ruta provincial;Colisión vehículo/Vehículo;Otro
Ministerio de Seguridad;1-2017-631;;;29/04/2017;20:30:00;Nocturno;29;Femenino;Conductor;Automóvil;Ruta nacional;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-706;;;30/04/2017;11:30:00;Diurno;69;Masculino;Conductor;Bicicleta;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-874;60049;Azul;30/04/2017;5:50:00;Nocturno;31;Masculino;Sin especificar;Automóvil;Calle;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1215;;;30/04/2017;Sin especificar;Sin especificar;32;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1061;;;01/05/2017;2:50:00;Nocturno;Sin especificar;Masculino;Acompañante;Automóvil;Calle;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-179;;;01/05/2017;0:30:00;Nocturno;44;Masculino;Conductor;Colectivo;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-632;;;01/05/2017;19:10:00;Nocturno;35;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-75;;;01/05/2017;17:54:00;Diurno;40;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-76;;;01/05/2017;22:45:00;Nocturno;75;Masculino;Conductor;Automóvil;Autopista provincial;Colisión vehículo/Objeto;Bueno
Reparos;3-2017-1309;60028;Almirante Brown;01/05/2017;13:00:00;Diurno;22;Masculino;Ocupante de vehículo sin especificar;Motocicleta;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1312;;;01/05/2017;1:45:00;Nocturno;48;Masculino;Sin especificar;Sin especificar;Ruta Provincial;Sin especificar;Sin especificar
Reparos;3-2017-1313;;;01/05/2017;18:15:00;Nocturno;81;Femenino;Sin especificar;Sin especificar;Ruta Nacional;Sin especificar;Sin especificar
Reparos;3-2017-1332;;;01/05/2017;9:00:00;Diurno;80;Femenino;Peatón;Peatón;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1336;;;01/05/2017;6:50:00;Nocturno;57;Masculino;Ocupante de vehículo sin especificar;Motocicleta;Ruta Nacional;Sin especificar;Sin especificar
Reparos;3-2017-1352;60760;San Miguel;01/05/2017;8:00:00;Diurno;21;Masculino;Peatón;Peatón;Ruta Nacional;Sin especificar;Sin especificar
Reparos;3-2017-1353;60098;Berisso;01/05/2017;3:00:00;Nocturno;25;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1361;;;01/05/2017;10:00:00;Diurno;79;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1366;;;01/05/2017;20:30:00;Nocturno;58;Masculino;Sin especificar;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-203;;;02/05/2017;2:15:00;Nocturno;70;Masculino;Conductor;Automóvil;Ruta nacional;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-547;60274;Florencio Varela;02/05/2017;12:15:00;Diurno;83;Femenino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-548;;;02/05/2017;9:45:00;Diurno;75;Masculino;Conductor;Bicicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-572;;;02/05/2017;15:30:00;Diurno;21;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-74;;;02/05/2017;7:30:00;Diurno;40;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Objeto;Bueno
Ministerio de Seguridad;1-2017-829;;;02/05/2017;14:50:00;Diurno;34;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-239;;;03/05/2017;18:30:00;Diurno;66;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-524;;;03/05/2017;22:20:00;Nocturno;28;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-549;60274;Florencio Varela;03/05/2017;6:50:00;Nocturno;21;Masculino;Conductor;Motocicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-583;;;03/05/2017;17:00:00;Diurno;37;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-584;;;04/05/2017;21:30:00;Nocturno;35;Masculino;Conductor;Automóvil;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-795;;;04/05/2017;10:00:00;Diurno;71;Femenino;Conductor;Automóvil;Calle;Colisión vehículo/Vehículo;Nublado
Egresos hospitalarios;2-2017-1264;60098;Berisso;04/05/2017;Sin especificar;Sin especificar;19;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1004;;;05/05/2017;17:45:00;Diurno;85;Masculino;Peatón;Peatón;Calle;Colisión vehículo/Persona;Sin especificar
Ministerio de Seguridad;1-2017-605;;;05/05/2017;21:20:00;Nocturno;2;Masculino;Acompañante;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-606;;;05/05/2017;21:20:00;Nocturno;32;Masculino;Acompañante;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-660;;;05/05/2017;7:30:00;Diurno;54;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-294;60260;Esteban Echeverría;06/05/2017;6:00:00;Nocturno;Sin especificar;Masculino;Peatón;Peatón;Ruta provincial;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-77;;;06/05/2017;6:30:00;Nocturno;19;Masculino;Conductor;Automóvil;Autopista nacional;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-78;;;06/05/2017;8:58:00;Diurno;25;Masculino;Conductor;Motocicleta;Ruta nacional;Vuelco/Despiste;Bueno
Ministerio de Seguridad;1-2017-1062;60007;Adolfo Alsina;07/05/2017;4:59:00;Nocturno;24;Femenino;Acompañante;Automóvil;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-474;;;07/05/2017;21:30:00;Nocturno;21;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Nublado
Ministerio de Seguridad;1-2017-921;;;08/05/2017;6:10:00;Nocturno;71;Masculino;Acompañante;Automóvil;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-293;;;09/05/2017;9:40:00;Diurno;Sin especificar;Masculino;Peatón;Peatón;Ruta nacional;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-830;;;09/05/2017;16:15:00;Diurno;Sin especificar;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1269;;;09/05/2017;Sin especificar;Sin especificar;55;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-180;;;11/05/2017;7:30:00;Diurno;28;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-295;;;11/05/2017;9:15:00;Diurno;50;Femenino;Sin especificar;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-296;;;11/05/2017;9:15:00;Diurno;72;Femenino;Sin especificar;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-661;;;11/05/2017;12:30:00;Diurno;41;Masculino;Conductor;Motocicleta;Autopista nacional;Colisión vehículo/Vehículo;Llovizna
Ministerio de Seguridad;1-2017-79;60134;Cañuelas;11/05/2017;12:30:00;Nocturno;55;Masculino;Peatón;Peatón;Ruta provincial;Colisión vehículo/Persona;Bueno
Ministerio de Seguridad;1-2017-831;;;11/05/2017;22:00:00;Nocturno;17;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-181;;;12/05/2017;13:15:00;Diurno;35;Masculino;Conductor;Automóvil;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-80;;;12/05/2017;11:50:00;Diurno;38;Femenino;Acompañante;Automóvil;Ruta nacional;Colisión vehículo/Objeto;Lluvia
Ministerio de Seguridad;1-2017-81;;;12/05/2017;11:50:00;Diurno;14;Masculino;Acompañante;Automóvil;Ruta nacional;Colisión vehículo/Objeto;Lluvia
Ministerio de Seguridad;1-2017-1144;;;13/05/2017;13:00:00;Diurno;65;Femenino;Sin especificar;Automóvil;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-444;60638;Pilar;13/05/2017;22:30:00;Nocturno;45;Masculino;Conductor;Motocicleta;Ruta nacional;Colisión vehículo/Vehículo;Sin especificar
